model,lat,lon,taw,organic_carbon,cec,ph,sand_pct,bulk_density,awc,texture_class,cluster
gmm,7.304357738537,80.10632812499,8.61894711852074,2.5562474945685767,15.15365616746096,5.408946673075358,75.573701262873,1.460127075513204,0.0574596474568049,Loamy sand,0
kmeans,7.304357738537,80.11575592039999,8.732696622610096,2.5485864301406864,15.150515226563815,5.406333764394124,75.43824036630346,1.4587349494298298,0.0582179774840673,Loamy sand,0
agglomerative,7.304357738537,80.11575592039999,8.732696622610096,2.5485864301406864,15.150515226563815,5.406333764394124,75.43824036630346,1.4587349494298298,0.0582179774840673,Loamy sand,1
gmm,7.304357738537,80.11575592039999,8.732696622610096,2.5485864301406864,15.150515226563815,5.406333764394124,75.43824036630346,1.4587349494298298,0.0582179774840673,Loamy sand,0
kmeans,7.304357738537,80.12518371581,8.847375214099882,2.540927480313262,15.147386865473946,5.4039543469746905,75.31666448049998,1.4573681354522705,0.0589825014273325,Loamy sand,0
agglomerative,7.304357738537,80.12518371581,8.847375214099882,2.540927480313262,15.147386865473946,5.4039543469746905,75.31666448049998,1.4573681354522705,0.0589825014273325,Loamy sand,1
gmm,7.304357738537,80.12518371581,8.847375214099882,2.540927480313262,15.147386865473946,5.4039543469746905,75.31666448049998,1.4573681354522705,0.0589825014273325,Loamy sand,0
kmeans,7.304357738537,80.13461151122,8.9629702270031,2.5332794452266465,15.457875133715357,5.491453170776367,75.20849955447213,1.4560174147288003,0.0597531348466873,Loamy sand,0
agglomerative,7.304357738537,80.13461151122,8.9629702270031,2.5332794452266465,15.457875133715357,5.491453170776367,75.20849955447213,1.4560174147288003,0.0597531348466873,Loamy sand,1
gmm,7.304357738537,80.13461151122,8.9629702270031,2.5332794452266465,15.457875133715357,5.491453170776367,75.20849955447213,1.4560174147288003,0.0597531348466873,Loamy sand,0
kmeans,7.294929943127,79.98376678465999,6.773623824119571,2.8115316797944776,15.455985584270136,5.499441464742024,79.55696784738606,1.5245396693547566,0.0451574921607971,Loamy sand,2
agglomerative,7.294929943127,79.98376678465999,6.773623824119571,2.8115316797944776,15.455985584270136,5.499441464742024,79.55696784738606,1.5245396693547566,0.0451574921607971,Loamy sand,3
gmm,7.294929943127,79.98376678465999,6.773623824119571,2.8115316797944776,15.455985584270136,5.499441464742024,79.55696784738606,1.5245396693547566,0.0451574921607971,Loamy sand,2
kmeans,7.294929943127,79.99319458007,6.835761293768879,2.8070126589547804,15.453932483702216,5.495271523793538,79.2395099909477,1.5240838527679443,0.0455717419584591,Loamy sand,2
agglomerative,7.294929943127,79.99319458007,6.835761293768879,2.8070126589547804,15.453932483702216,5.495271523793538,79.2395099909477,1.5240838527679443,0.0455717419584591,Loamy sand,3
gmm,7.294929943127,79.99319458007,6.835761293768879,2.8070126589547804,15.453932483702216,5.495271523793538,79.2395099909477,1.5240838527679443,0.0455717419584591,Loamy sand,2
kmeans,7.294929943127,80.00262237548,6.899379938840867,2.802391549537876,15.451829342945572,5.49154265721639,78.93365922196575,1.5237021048863728,0.0459958662589391,Loamy sand,2
agglomerative,7.294929943127,80.00262237548,6.899379938840867,2.802391549537876,15.451829342945572,5.49154265721639,78.93365922196575,1.5237021048863728,0.0459958662589391,Loamy sand,3
gmm,7.294929943127,80.00262237548,6.899379938840867,2.802391549537876,15.451829342945572,5.49154265721639,78.93365922196575,1.5237021048863728,0.0459958662589391,Loamy sand,2
kmeans,7.294929943127,80.01205017088999,6.964362412691116,2.7977122042235165,15.449559557474643,5.488274733225505,78.64091712716936,1.5225930611292522,0.0464290827512741,Loamy sand,2
agglomerative,7.294929943127,80.01205017088999,6.964362412691116,2.7977122042235165,15.449559557474643,5.488274733225505,78.64091712716936,1.5225930611292522,0.0464290827512741,Loamy sand,3
gmm,7.294929943127,80.01205017088999,6.964362412691116,2.7977122042235165,15.449559557474643,5.488274733225505,78.64091712716936,1.5225930611292522,0.0464290827512741,Loamy sand,2
kmeans,7.294929943127,80.0214779663,7.201717421412476,2.7244235656789564,14.799666560444756,5.429365475972493,78.36128603712406,1.5224217971165974,0.0480114494760831,Loamy sand,2
agglomerative,7.294929943127,80.0214779663,7.201717421412476,2.7244235656789564,14.799666560444756,5.429365475972493,78.36128603712406,1.5224217971165974,0.0480114494760831,Loamy sand,3
gmm,7.294929943127,80.0214779663,7.201717421412476,2.7244235656789564,14.799666560444756,5.429365475972493,78.36128603712406,1.5224217971165974,0.0480114494760831,Loamy sand,2
kmeans,7.294929943127,80.03090576171,7.279176265001295,2.7190523381357408,14.79693428293308,5.424821694691976,78.09571221018665,1.522342522939046,0.0485278417666753,Loamy sand,2
agglomerative,7.294929943127,80.03090576171,7.279176265001295,2.7190523381357408,14.79693428293308,5.424821694691976,78.09571221018665,1.522342522939046,0.0485278417666753,Loamy sand,3
gmm,7.294929943127,80.03090576171,7.279176265001295,2.7190523381357408,14.79693428293308,5.424821694691976,78.09571221018665,1.522342522939046,0.0485278417666753,Loamy sand,2
kmeans,7.294929943127,80.04033355712,7.357779890298849,2.7136246094300227,14.794173346208256,5.42072073618571,77.84457704557866,1.5223582188288372,0.0490518659353256,Loamy sand,2
agglomerative,7.294929943127,80.04033355712,7.357779890298849,2.7136246094300227,14.794173346208256,5.42072073618571,77.84457704557866,1.5223582188288372,0.0490518659353256,Loamy sand,3
gmm,7.294929943127,80.04033355712,7.357779890298849,2.7136246094300227,14.794173346208256,5.42072073618571,77.84457704557866,1.5223582188288372,0.0490518659353256,Loamy sand,2
kmeans,7.294929943127,80.07804473876,8.38302522897721,2.5949242911529447,15.166889057331652,5.408416906992595,77.01175023329924,1.4458455244700117,0.055886834859848,Loamy sand,0
agglomerative,7.294929943127,80.07804473876,8.38302522897721,2.5949242911529447,15.166889057331652,5.408416906992595,77.01175023329924,1.4458455244700117,0.055886834859848,Loamy sand,1
gmm,7.294929943127,80.07804473876,8.38302522897721,2.5949242911529447,15.166889057331652,5.408416906992595,77.01175023329924,1.4458455244700117,0.055886834859848,Loamy sand,0
kmeans,7.294929943127,80.08747253417,8.50365236401558,2.588407589946003,15.16355569961182,5.405043601989746,76.83549585364871,1.4438728491465251,0.0566910157601038,Loamy sand,0
agglomerative,7.294929943127,80.08747253417,8.50365236401558,2.588407589946003,15.16355569961182,5.405043601989746,76.83549585364871,1.4438728491465251,0.0566910157601038,Loamy sand,1
gmm,7.294929943127,80.08747253417,8.50365236401558,2.588407589946003,15.16355569961182,5.405043601989746,76.83549585364871,1.4438728491465251,0.0566910157601038,Loamy sand,0
kmeans,7.294929943127,80.09690032958,8.518074452877038,2.5713158840808865,15.161253517624973,5.401999791463216,75.55956897672453,1.4582376877466838,0.0567871630191802,Loamy sand,0
agglomerative,7.294929943127,80.09690032958,8.518074452877038,2.5713158840808865,15.161253517624973,5.401999791463216,75.55956897672453,1.4582376877466838,0.0567871630191802,Loamy sand,1
gmm,7.294929943127,80.09690032958,8.518074452877038,2.5713158840808865,15.161253517624973,5.401999791463216,75.55956897672453,1.4582376877466838,0.0567871630191802,Loamy sand,0
kmeans,7.294929943127,80.10632812499,8.631974458694454,2.56348277977093,15.157967176557428,5.399264494578044,75.41524350090923,1.4569137493769329,0.0575464963912963,Loamy sand,0
agglomerative,7.294929943127,80.10632812499,8.631974458694454,2.56348277977093,15.157967176557428,5.399264494578044,75.41524350090923,1.4569137493769329,0.0575464963912963,Loamy sand,1
gmm,7.294929943127,80.10632812499,8.631974458694454,2.56348277977093,15.157967176557428,5.399264494578044,75.41524350090923,1.4569137493769329,0.0575464963912963,Loamy sand,0
kmeans,7.294929943127,80.11575592039999,8.74675959348679,2.555646527725231,15.154688806051968,5.396814505259196,75.28681295228088,1.455630898475647,0.0583117306232452,Loamy sand,0
agglomerative,7.294929943127,80.11575592039999,8.74675959348679,2.555646527725231,15.154688806051968,5.396814505259196,75.28681295228088,1.455630898475647,0.0583117306232452,Loamy sand,1
gmm,7.294929943127,80.11575592039999,8.74675959348679,2.555646527725231,15.154688806051968,5.396814505259196,75.28681295228088,1.455630898475647,0.0583117306232452,Loamy sand,0
kmeans,7.294929943127,80.12518371581,8.862375468015678,2.5478156497533164,15.151423876981037,5.394623279571533,75.1740890949393,1.454382101694743,0.0590825031201045,Loamy sand,0
